mainshock_id,window_days,side,all_event_count_le100,nearfield_count_0_30,outerband_count_30_100,outerband_fraction_30_100,nearfield_fraction_0_30,m4plus_outerband_count_30_100,m4plus_outerband_fraction_30_100
M1,7,pre,568,507,61,0.1073943661971831,0.8926056338028169,3,0.14285714285714285
M1,7,post,1803,1424,379,0.21020521353300056,0.7897947864669994,7,0.12727272727272726
M1,14,pre,595,513,82,0.13781512605042018,0.8621848739495799,3,0.14285714285714285
M1,14,post,2442,1715,727,0.2977067977067977,0.7022932022932022,11,0.18032786885245902
M1,25,pre,641,516,125,0.19500780031201248,0.8049921996879875,3,0.14285714285714285
M1,25,post,2862,1974,888,0.31027253668763105,0.689727463312369,11,0.1746031746031746
M2,7,pre,40,5,35,0.875,0.125,0,
M2,7,post,3465,623,2842,0.8202020202020202,0.1797979797979798,41,0.9111111111111111
M2,14,pre,66,10,56,0.8484848484848485,0.15151515151515152,0,
M2,14,post,4787,765,4022,0.8401921871735951,0.15980781282640485,44,0.8979591836734694
M2,25,pre,139,49,90,0.6474820143884892,0.35251798561151076,0,0.0
M2,25,post,5745,885,4860,0.8459530026109661,0.15404699738903394,48,0.9056603773584906
M3,7,pre,202,41,161,0.7970297029702971,0.20297029702970298,0,0.0
M3,7,post,2959,1588,1371,0.4633322068266306,0.5366677931733694,17,0.3953488372093023
M3,14,pre,360,72,288,0.8,0.2,1,0.5
M3,14,post,3773,1850,1923,0.5096739994699179,0.4903260005300822,21,0.44680851063829785
M3,25,pre,1077,153,924,0.8579387186629527,0.14206128133704735,16,0.9411764705882353
M3,25,post,3773,1850,1923,0.5096739994699179,0.4903260005300822,21,0.44680851063829785
