pair_name,hypothesis,raw_score,corrected_score,distance_score,raw_evidence,control_corrected_evidence,distance_aware_plausibility,mechanism_context,followup_priority,recommended_followup
M1_M2,overlapping_activation_zones,0.1217948717948717,0.0948223824786324,0.0,low,low,low,broadly_compatible,low,No immediate escalation beyond catalog checks
M1_M2,delayed_activation_between_clusters,0.0,0.0,0.0,low,low,low,broadly_compatible,low,No immediate escalation beyond catalog checks
M1_M2,linked_local_fault_system_activation,0.5608974358974359,0.5099111912393163,0.0,moderate,moderate,low,broadly_compatible,medium,"High-precision relocation, focal mechanisms, and stress modeling"
M1_M2,corridor_like_migration_or_expansion,1.0,0.925,0.0,strong,strong,low,broadly_compatible,low,No immediate escalation beyond catalog checks
M1_M2,compound_swarm_like_multi_event_clustering,0.1831861062394418,0.1686838728288193,0.0,low,low,low,broadly_compatible,low,No immediate escalation beyond catalog checks
M1_M2,apparent_relationship_from_background_or_window_choices,0.1166666666666666,0.1166666666666666,0.8325088855452676,low,low,strong,broadly_compatible,low,No immediate escalation beyond catalog checks
M1_M3,independent_local_clusters,0.5642023346303502,0.1264165856031128,0.5406410895673496,moderate,low,moderate,broadly_compatible,medium,Low priority; only revisit after improved relocations and background-rate modeling
M1_M3,apparent_relationship_from_background_or_window_choices,0.2166666666666666,0.2166666666666666,0.7075009484109135,low,low,moderate,broadly_compatible,medium,Expand control suite and compare alternative windows before physical interpretation
M2_M3,overlapping_activation_zones,0.0647773279352226,0.0135627530364372,0.0227012449697525,low,low,low,broadly_compatible,low,No immediate escalation beyond catalog checks
M2_M3,delayed_activation_between_clusters,0.0,0.0,0.0,low,low,low,broadly_compatible,low,No immediate escalation beyond catalog checks
M2_M3,linked_local_fault_system_activation,0.2641700404858299,0.136192645074224,0.0227012449697525,possible,low,low,broadly_compatible,low,No immediate escalation beyond catalog checks
M2_M3,corridor_like_migration_or_expansion,0.4635627530364372,0.2588225371120108,0.0,possible,possible,low,broadly_compatible,medium,"Waveform migration tests, relocation, and along-strike stress or fluid indicators"
M2_M3,compound_swarm_like_multi_event_clustering,0.199055330634278,0.1368505398110661,0.0,low,low,low,broadly_compatible,low,No immediate escalation beyond catalog checks
M2_M3,apparent_relationship_from_background_or_window_choices,0.5333333333333333,0.5333333333333333,0.8702023708392594,moderate,moderate,strong,broadly_compatible,high,Expand control suite and compare alternative windows before physical interpretation
