region,depth_bin,threshold,observed_count,expected_count,obs_exp_ratio
common_region,0-30 km,1.2,14230,4177.04498714653,3.4067145658684796
common_region,30-60 km,1.2,2869,2473.866323907455,1.159723131469947
common_region,>=60 km,1.2,99,588.0771208226221,0.16834526713352743
common_region,0-30 km,2.0,4631,1008.875321336761,4.5902599677668
common_region,30-60 km,2.0,850,679.6105398457584,1.2507163296686254
common_region,>=60 km,2.0,34,173.5758354755784,0.19587980035840702
common_region,0-30 km,3.0,1041,193.6529562982005,5.375595704291726
common_region,30-60 km,3.0,218,161.25578406169666,1.3518894920171851
common_region,>=60 km,3.0,8,40.4280205655527,0.19788255492321877
common_region,0-30 km,4.0,204,35.04370179948586,5.821302816901409
common_region,30-60 km,4.0,54,28.10796915167095,1.9211633436985551
common_region,>=60 km,4.0,1,8.2133676092545,0.1217527386541471
common_region,0-30 km,5.0,54,7.4832904884318765,7.21607694950189
common_region,30-60 km,5.0,13,4.745501285347044,2.73943661971831
common_region,>=60 km,5.0,1,1.0038560411311055,0.996158770806658
m1_m3_local_union,0-30 km,1.2,6893,1140.4717223650387,6.043990275976093
m1_m3_local_union,30-60 km,1.2,8,23.27120822622108,0.3437724385528859
m1_m3_local_union,>=60 km,1.2,0,0.0,
m1_m3_local_union,0-30 km,2.0,2586,363.8521850899743,7.107281764325608
m1_m3_local_union,30-60 km,2.0,3,8.030848329048844,0.3735595390524968
m1_m3_local_union,>=60 km,2.0,0,0.0,
m1_m3_local_union,0-30 km,3.0,637,82.77249357326478,7.695793282295759
m1_m3_local_union,30-60 km,3.0,2,1.8251928020565553,1.0957746478873238
m1_m3_local_union,>=60 km,3.0,0,0.0,
m1_m3_local_union,0-30 km,4.0,139,15.787917737789202,8.804200928112024
m1_m3_local_union,30-60 km,4.0,1,0.45629820051413883,2.1915492957746476
m1_m3_local_union,>=60 km,4.0,0,0.0,
m1_m3_local_union,0-30 km,5.0,44,4.5629820051413885,9.64281690140845
m1_m3_local_union,30-60 km,5.0,1,0.09125964010282776,10.95774647887324
m1_m3_local_union,>=60 km,5.0,0,0.0,
m2_near_field,0-30 km,1.2,761,185.25706940874036,4.107805453410116
m2_near_field,30-60 km,1.2,1595,310.8303341902314,5.13141680381762
m2_near_field,>=60 km,1.2,15,37.69023136246787,0.39798110698086825
m2_near_field,0-30 km,2.0,180,39.60668380462725,4.544687479717012
m2_near_field,30-60 km,2.0,454,87.51799485861183,5.187504589581283
m2_near_field,>=60 km,2.0,4,11.772493573264782,0.33977508461622447
m2_near_field,0-30 km,3.0,30,6.479434447300771,4.630033723467566
m2_near_field,30-60 km,3.0,105,21.263496143958868,4.938040258719701
m2_near_field,>=60 km,3.0,0,2.5552699228791775,0.0
m2_near_field,0-30 km,4.0,3,1.0038560411311055,2.9884763124199742
m2_near_field,30-60 km,4.0,24,4.47172236503856,5.367059499856281
m2_near_field,>=60 km,4.0,0,0.5475578406169666,0.0
m2_near_field,0-30 km,5.0,0,0.18251928020565553,0.0
m2_near_field,30-60 km,5.0,8,1.095115681233933,7.305164319248827
m2_near_field,>=60 km,5.0,0,0.09125964010282776,0.0
m2_outer_band,0-30 km,1.2,5646,1340.2390745501286,4.212681235170796
m2_outer_band,30-60 km,1.2,538,621.1131105398457,0.86618683597323
m2_outer_band,>=60 km,1.2,29,252.4241645244216,0.11488598983634271
m2_outer_band,0-30 km,2.0,1572,302.7994858611825,5.191554389628913
m2_outer_band,30-60 km,2.0,213,183.88817480719794,1.1583126550868486
m2_outer_band,>=60 km,2.0,8,74.74164524421595,0.10703537464100843
m2_outer_band,0-30 km,3.0,317,57.311053984575835,5.531219162106396
m2_outer_band,30-60 km,3.0,70,49.09768637532134,1.4257290957641762
m2_outer_band,>=60 km,3.0,2,19.438303341902312,0.10288963829927925
m2_outer_band,0-30 km,4.0,47,9.308483290488432,5.0491576912455125
m2_outer_band,30-60 km,4.0,19,9.582262210796916,1.9828303152246813
m2_outer_band,>=60 km,4.0,0,4.745501285347044,0.0
m2_outer_band,0-30 km,5.0,7,1.6426735218508997,4.261345852895149
m2_outer_band,30-60 km,5.0,4,1.8251928020565553,2.1915492957746476
m2_outer_band,>=60 km,5.0,0,0.6388174807197944,0.0
control_region,0-30 km,1.2,1685,1691.223650385604,0.9963200311300134
control_region,30-60 km,1.2,1144,1648.7879177377893,0.6938430271672655
control_region,>=60 km,1.2,66,321.7814910025707,0.20510813034759892
control_region,0-30 km,2.0,473,341.4935732647815,1.3850919520328813
control_region,30-60 km,2.0,284,432.5706940874036,0.6565400843881857
control_region,>=60 km,2.0,24,93.72365038560412,0.25607197224241257
control_region,0-30 km,3.0,87,53.47814910025707,1.6268326683651395
control_region,30-60 km,3.0,66,95.82262210796915,0.6887726358148893
control_region,>=60 km,3.0,6,19.98586118251928,0.300212232297897
control_region,0-30 km,4.0,18,9.947300771208226,1.809536115777232
control_region,30-60 km,4.0,19,15.422879177377892,1.2319359946662223
control_region,>=60 km,4.0,1,3.102827763496144,0.32228666114333054
control_region,0-30 km,5.0,3,1.2776349614395888,2.3480885311871225
control_region,30-60 km,5.0,3,2.2814910025706943,1.3149295774647887
control_region,>=60 km,5.0,1,0.2737789203084833,3.6525821596244135
