region,threshold,window_name,mean_count,median_count,p95_count,n_windows
common_region,3.0,monthly,56.25974025974026,41.0,107.60000000000001,77
common_region,4.0,monthly,10.155844155844155,7.0,20.400000000000034,77
common_region,5.0,monthly,1.9333333333333333,1.0,5.0,75
common_region,6.0,monthly,0.33783783783783783,0.0,1.3499999999999943,74
m1_m3_local_union,3.0,monthly,12.03896103896104,2.0,32.600000000000065,77
m1_m3_local_union,4.0,monthly,2.3421052631578947,0.0,7.25,76
m1_m3_local_union,5.0,monthly,1.0,0.0,3.5,51
m1_m3_local_union,6.0,monthly,0.2727272727272727,0.0,1.3999999999999986,33
m2_near_field,3.0,monthly,4.311688311688312,3.0,7.400000000000006,77
m2_near_field,4.0,monthly,0.8571428571428571,0.0,2.0,77
m2_near_field,5.0,monthly,0.21428571428571427,0.0,1.0,70
m2_near_field,6.0,monthly,0.06557377049180328,0.0,0.0,61
m2_outer_band,3.0,monthly,17.90909090909091,13.0,26.200000000000003,77
m2_outer_band,4.0,monthly,3.5,3.0,7.349999999999994,74
m2_outer_band,5.0,monthly,0.6081081081081081,0.0,2.0,74
m2_outer_band,6.0,monthly,0.1724137931034483,0.0,1.0,29
control_region,3.0,monthly,24.09090909090909,22.0,44.20000000000002,77
control_region,4.0,monthly,4.0519480519480515,3.0,11.0,77
control_region,5.0,monthly,0.5675675675675675,0.0,2.0,74
control_region,6.0,monthly,0.13513513513513514,0.0,1.0,74
