region,depth_bin,threshold,window_name,observed_count,n_random_windows,n_outside_windows,random_expected_mean,random_expected_median,random_expected_ci_low,random_expected_ci_high,random_ratio_mean,random_ratio_ci_low,random_ratio_ci_high,random_excess_mean,random_excess_ci_low,random_excess_ci_high,random_percentile,random_exceedance_fraction,outside_expected_mean,outside_expected_median,outside_expected_ci_low,outside_expected_ci_high,outside_ratio_mean,outside_ratio_ci_low,outside_ratio_ci_high,outside_excess_mean,outside_excess_ci_low,outside_excess_ci_high,outside_percentile,outside_exceedance_fraction,n_shifted_windows,active_shifted_mean,active_shifted_median,active_shifted_max,active_shifted_percentile
common_region,0-30 km,3.0,14D,3,2320,2093,13.2135,6.0,1.0,82.0,0.7014024189477049,0.036585365853658534,3.0,-10.2135,-79.0,2.0,21.89655172413793,0.8896551724137931,6.689,5.0,1.0,22.0,0.7490536275681788,0.13636363636363635,3.0,-3.689,-19.0,2.0,23.45914954610607,0.8838987099856666,29,68.10344827586206,17.0,300.0,10.344827586206897
common_region,0-30 km,3.0,30D,3,2304,2070,26.6145,12.0,6.0,295.0,0.2528004577925696,0.010169491525423728,0.5,-23.6145,-292.0,-3.0,0.1736111111111111,1.0,13.83675,12.0,6.0,42.05000000000018,0.2702645885305611,0.07134740259740262,0.5,-10.83675,-39.04999999999998,-3.0,0.1932367149758454,1.0,27,136.96296296296296,64.0,343.0,3.7037037037037033
common_region,0-30 km,3.0,7D,0,2327,2107,5.9455,3.0,0.0,35.0,0.0,0.0,0.0,-5.9455,-35.0,0.0,8.42286205414697,1.0,3.485,2.0,0.0,13.0,0.0,0.0,0.0,-3.485,-13.0,0.0,9.06502135738016,1.0,30,34.1,7.5,255.0,10.0
common_region,0-30 km,3.0,active_period,1041,2122,1888,161.13775,98.0,74.0,796.0250000000001,10.06765075563204,1.3077479224857034,14.067567567567568,879.86225,244.97500000000002,967.0,98.77474081055608,0.012252591894439209,97.18975,95.5,73.0,147.0,11.033804571186348,7.081632653061225,14.26027397260274,943.81025,894.0,968.0,100.0,0.0,1,1041.0,1041.0,1041.0,100.0
common_region,0-30 km,4.0,14D,1,2320,2093,2.40225,1.0,0.0,14.0,1.1913040913699493,0.07142857142857142,2.0,-1.40225,-13.0,1.0,68.83620689655172,0.5806034482758621,1.16825,1.0,0.0,5.0,1.2923586191586192,0.2,2.0,-0.16825,-4.0,1.0,74.62971810797899,0.5432393693263259,29,13.620689655172415,4.0,74.0,13.793103448275861
common_region,0-30 km,4.0,30D,1,2304,2070,4.6205,2.0,0.0,44.0,0.7808359605161578,0.022727272727272728,2.0,-3.6205,-43.0,1.0,41.71006944444444,0.8220486111111112,2.40225,2.0,0.0,9.0,0.8401101599789099,0.1111111111111111,2.0,-1.40225,-8.0,1.0,45.169082125603865,0.8019323671497585,27,27.88888888888889,18.0,83.0,3.7037037037037033
common_region,0-30 km,4.0,7D,0,2327,2107,1.171,0.0,0.0,6.0,0.0,0.0,0.0,-1.171,-6.0,0.0,62.09712075633863,1.0,0.56925,0.0,0.0,4.0,0.0,0.0,0.0,-0.56925,-4.0,0.0,66.2078785002373,1.0,30,6.733333333333333,2.0,67.0,20.0
common_region,0-30 km,4.0,active_period,204,2122,1888,28.99825,17.0,7.0,164.0,12.457731217468199,1.2439024390243902,29.142857142857142,175.00175,40.0,197.0,98.77474081055608,0.013195098963242224,16.531,16.0,6.0,30.0,13.721103523668676,6.8,34.0,187.469,174.0,198.0,100.0,0.0,1,204.0,204.0,204.0,100.0
common_region,0-30 km,5.0,14D,0,2320,2093,0.44225,0.0,0.0,3.0,0.0,0.0,0.0,-0.44225,-3.0,0.0,81.12068965517241,1.0,0.16225,0.0,0.0,1.0,0.0,0.0,0.0,-0.16225,-1.0,0.0,85.71428571428571,1.0,29,3.6551724137931036,1.0,28.0,41.37931034482759
common_region,0-30 km,5.0,30D,0,2304,2070,1.0515,0.0,0.0,9.0,0.0,0.0,0.0,-1.0515,-9.0,0.0,67.75173611111111,1.0,0.36025,0.0,0.0,2.0,0.0,0.0,0.0,-0.36025,-2.0,0.0,73.33333333333333,1.0,27,7.407407407407407,3.0,30.0,25.925925925925924
common_region,0-30 km,5.0,7D,0,2327,2107,0.27575,0.0,0.0,2.0,0.0,0.0,0.0,-0.27575,-2.0,0.0,89.29952728835411,1.0,0.08325,0.0,0.0,1.0,0.0,0.0,0.0,-0.08325,-1.0,0.0,92.2638822971049,1.0,30,1.8,0.0,24.0,60.0
common_region,0-30 km,5.0,active_period,54,2122,1888,6.03875,3.0,0.0,42.0,30.62972994299417,1.2857142857142858,108.0,47.96125,12.0,54.0,98.53911404335533,0.014608859566446749,2.572,2.0,0.0,6.0,33.493050000000004,9.0,108.0,51.428,48.0,54.0,100.0,0.0,1,54.0,54.0,54.0,100.0
common_region,30-60 km,3.0,14D,4,2320,2093,10.5375,10.0,3.0,24.0,0.48338633761939265,0.16666666666666666,1.3333333333333333,-6.5375,-20.0,1.0,7.543103448275862,0.9668103448275862,9.843,10.0,3.0,18.0,0.49888952294756844,0.2222222222222222,1.3333333333333333,-5.843,-14.0,1.0,7.5967510750119445,0.967032967032967,29,14.137931034482758,9.0,65.0,17.24137931034483
common_region,30-60 km,3.0,30D,6,2304,2070,22.43275,21.0,10.0,50.0,0.3112744320258676,0.12,0.6,-16.43275,-44.0,-4.0,0.0,1.0,20.84175,20.0,10.0,35.0,0.3184982565091656,0.17142857142857143,0.6,-14.84175,-29.0,-4.0,0.0,1.0,27,30.037037037037038,19.0,91.0,11.11111111111111
common_region,30-60 km,3.0,7D,4,2327,2107,5.26825,5.0,1.0,13.0,1.2169467894175703,0.3076923076923077,4.0,-1.26825,-9.0,3.0,48.087666523420715,0.6819939836699613,4.9065,4.0,1.0,10.0,1.2366535295052028,0.4,4.0,-0.9065,-6.0,3.0,49.691504508780255,0.6706217370669197,30,7.166666666666667,4.0,38.0,53.333333333333336
common_region,30-60 km,3.0,active_period,218,2122,1888,154.75825,143.0,110.0,232.0,1.47429470952485,0.9396551724137931,1.981818181818182,63.24175,-14.0,108.0,92.74269557021678,0.07587181903864279,147.9165,142.0,110.0,216.0,1.5226602939733025,1.0092592592592593,1.981818181818182,70.0835,2.0,108.0,98.14618644067797,0.021716101694915255,1,218.0,218.0,218.0,100.0
common_region,30-60 km,4.0,14D,2,2320,2093,1.82875,1.0,0.0,6.0,1.7504224920912423,0.3333333333333333,4.0,0.17125,-4.0,2.0,76.12068965517241,0.49051724137931035,1.66475,1.0,0.0,5.0,1.8279254120879123,0.4,4.0,0.33525,-3.0,2.0,80.21978021978022,0.45914954610606784,29,3.4482758620689653,3.0,13.0,48.275862068965516
common_region,30-60 km,4.0,30D,2,2304,2070,3.96125,3.0,1.0,13.0,0.8175985007639419,0.15384615384615385,2.0,-1.96125,-11.0,1.0,34.41840277777778,0.875,3.47725,3.0,1.0,10.0,0.8661281718281717,0.2,2.0,-1.47725,-8.0,1.0,37.53623188405797,0.8628019323671497,27,7.555555555555555,6.0,21.0,18.51851851851852
