burst_id,threshold,threshold_label,start_time,end_time,duration_days,event_count,largest_magnitude,mean_magnitude,min_depth_km,max_depth_km,median_depth_km,centroid_latitude,centroid_longitude,along_axis_centroid_km,dominant_spatial_category,M2_related_fraction,nearest_endpoint_mode,phase_class
T3_002,3.0,M3+,2025-06-16 23:12:16.400000+00:00,2025-06-18 15:04:58.960000+00:00,1.6616037037037037,4,3.6,3.4999999999999996,12.59,13.41,12.870000000000001,39.5573365,143.385974,20.06688645106277,M1-core,0.0,M1,mixed/ambiguous
T3_005,3.0,M3+,2025-07-21 22:00:45.620000+00:00,2025-08-01 12:52:06.490000+00:00,10.618991550925927,6,3.9,3.5,15.89,36.06,21.535,39.52157233333333,143.17054850000002,26.39889615065972,M1-core,0.0,M1,mixed/ambiguous
T3_007,3.0,M3+,2025-09-15 02:42:18.920000+00:00,2025-09-16 08:02:00.830000+00:00,1.2220128472222223,4,3.9,3.375,13.26,14.73,14.605,39.33978175,143.32941875,2.138794756222171,M1-core,0.0,M1,mixed/ambiguous
T3_009,3.0,M3+,2025-11-01 07:34:32.810000+00:00,2025-12-19 21:40:05+00:00,48.587178125,367,6.9,3.6762942779291548,3.82,31.31,13.01,39.5070100599455,143.4526305640327,12.330011154481658,M1-core,0.01907356948228883,M1,M1-related dominated phase
T4_001,4.0,M4+,2025-11-02 09:57:55.560000+00:00,2025-11-29 21:46:28.400000+00:00,27.49204675925926,83,6.9,4.791566265060241,6.13,31.31,12.63,39.48268826506024,143.4448581566265,10.390981480365785,M1-core,0.0,M1,M1-related dominated phase
T4_003,4.0,M4+,2025-12-14 07:58:12.580000+00:00,2025-12-19 21:40:05+00:00,5.5707456018518515,4,4.9,4.7250000000000005,11.06,17.18,12.715,39.711673250000004,143.35547675,35.964371738841386,M3-core,0.0,M3,intermediate M1-M3 activity
T3_010,3.0,M3+,2025-12-30 22:19:44.960000+00:00,2026-01-01 12:46:20.410000+00:00,1.6017991898148147,5,6.1,4.48,11.56,31.73,12.86,39.7767324,143.2174578,48.3002455123722,M1-core,0.0,M1,intermediate M1-M3 activity
T4_004,4.0,M4+,2025-12-30 22:19:44.960000+00:00,2025-12-31 17:31:38.080000+00:00,0.7999203703703703,3,6.1,5.033333333333333,11.56,31.73,12.86,39.751356,143.25815966666667,44.07981033649182,M1-core,0.0,M1,intermediate M1-M3 activity
T3_011,3.0,M3+,2026-01-09 18:11:59.880000+00:00,2026-01-22 07:10:52.350000+00:00,12.540885069444444,6,4.5,3.85,10.58,36.31,12.649999999999999,39.611505,143.29206000000002,29.39237976798893,M1-core,0.0,M1,intermediate M1-M3 activity
T4_005,4.0,M4+,2026-01-16 09:04:29.780000+00:00,2026-01-20 18:44:41.600000+00:00,4.402914583333334,2,4.5,4.4,12.45,12.85,12.649999999999999,39.542749,143.54366850000002,11.595157867177917,M1-core,0.0,M1,intermediate M1-M3 activity
T3_012,3.0,M3+,2026-01-30 11:03:19.070000+00:00,2026-02-15 00:55:40.090000+00:00,15.578021064814815,12,4.5,3.6583333333333337,5.94,15.5,13.45,39.608019000000006,143.39081633333333,24.618618681062646,M1-core,0.0,M1,intermediate M1-M3 activity
T4_006,4.0,M4+,2026-01-30 11:03:19.070000+00:00,2026-02-05 08:33:02.400000+00:00,5.895640393518518,3,4.5,4.266666666666667,10.26,15.46,15.13,39.80298,143.28750533333334,47.61708518533404,M3-core,0.0,M3,intermediate M1-M3 activity
T3_014,3.0,M3+,2026-03-03 12:07:17.350000+00:00,2026-04-09 09:25:10.610000+00:00,36.88742199074074,67,6.7,3.7223880597014927,3.09,25.59,14.14,39.49884346268656,143.3689450597015,15.328708410118839,M1-core,0.0,M1,pre-M3 local activation
T4_007,4.0,M4+,2026-03-03 12:16:22.640000+00:00,2026-03-13 19:55:22.600000+00:00,10.318749537037037,5,6.1,5.119999999999999,13.15,17.1,14.37,39.48132,143.35390620000004,14.356580692032159,M1-core,0.0,M1,intermediate M1-M3 activity
T4_008,4.0,M4+,2026-03-26 08:51:51.620000+00:00,2026-03-27 16:38:50.360000+00:00,1.3242909722222223,12,6.7,4.675,13.58,17.72,15.19,39.460518416666666,143.33169083333334,13.399013183588371,M1-core,0.0,M1,pre-M3 local activation
T3_015,3.0,M3+,2026-04-17 19:00:45.840000+00:00,2026-05-01 02:29:35.670000+00:00,13.311687847222222,258,7.7,3.5589147286821703,0.82,36.55,13.795,39.78060268992248,143.27718937984494,45.97555284934451,M3-core,0.05813953488372093,M3,post-M3 context
T4_010,4.0,M4+,2026-04-20 07:52:58.050000+00:00,2026-04-30 10:38:16.730000+00:00,10.114799537037037,44,7.7,4.729545454545455,3.68,35.04,15.025,39.81448756818182,143.23246922727276,51.17760937277546,M3-core,0.06818181818181818,M3,post-M3 context
