version,classification_item,classification
raw,pre_existing_local_activity_before_M1,present
raw,M1_related_swarm_aftershock_dominated,strong
raw,middle_phase_activity_after_M1_plus_21d,sustained
raw,separated_bursts,yes
raw,endpoint_centered_activity,yes
raw,corridor_like_activity,no_or_mixed
raw,pre_M3_local_activation,clear_local_activation
raw,continuous_activation_chain,possible_or_mixed
raw,apparent_migration,not_robust
raw,endpoint_switching_or_mixed_endpoint_sequences,no_or_unclear
raw,broader_regional_or_background_component,subordinate
raw,M2_affected_or_ambiguous_mixed_behavior,compare_raw_and_m2aware
m2aware,pre_existing_local_activity_before_M1,present
m2aware,M1_related_swarm_aftershock_dominated,strong
m2aware,middle_phase_activity_after_M1_plus_21d,sustained
m2aware,separated_bursts,yes
m2aware,endpoint_centered_activity,yes
m2aware,corridor_like_activity,no_or_mixed
m2aware,pre_M3_local_activation,clear_local_activation
m2aware,continuous_activation_chain,possible_or_mixed
m2aware,apparent_migration,not_robust
m2aware,endpoint_switching_or_mixed_endpoint_sequences,no_or_unclear
m2aware,broader_regional_or_background_component,subordinate
m2aware,M2_affected_or_ambiguous_mixed_behavior,limited
