version,baseline_window,compare_window,baseline_event_count,compare_event_count,baseline_rate_per_day,compare_rate_per_day,rate_ratio_compare_to_baseline,baseline_corridor_fraction,baseline_off_corridor_fraction,compare_corridor_fraction,compare_off_corridor_fraction
raw,pre_M1_baseline_14d,M1_related_primary,563,3147,3.8543845295943613,92.26143335929957,23.936748565408248,0.5239786856127886,0.47602131438721135,0.9107086113759135,0.08929138862408643
raw,pre_M1_baseline_14d,middle_primary,563,1358,3.8543845295943613,12.846695077291724,3.3330081569842025,0.5239786856127886,0.47602131438721135,0.8225331369661266,0.17746686303387335
raw,pre_M1_baseline_14d,pre_M3_primary,563,854,3.8543845295943613,24.527884936743057,6.3636320529037596,0.5239786856127886,0.47602131438721135,0.8618266978922716,0.13817330210772832
raw,pre_M1_baseline_14d,full_M1_to_M3,563,4796,3.8543845295943613,29.606294528748634,7.681198982983783,0.5239786856127886,0.47602131438721135,0.8734361968306923,0.12656380316930776
raw,pre_M1_baseline_7d,M1_related_primary,580,3147,3.7928819976879997,92.26143335929957,24.32488894079455,0.5241379310344828,0.47586206896551725,0.9107086113759135,0.08929138862408643
raw,pre_M1_baseline_7d,middle_primary,580,1358,3.7928819976879997,12.846695077291724,3.38705371934128,0.5241379310344828,0.47586206896551725,0.8225331369661266,0.17746686303387335
raw,pre_M1_baseline_7d,pre_M3_primary,580,854,3.7928819976879997,24.527884936743057,6.466819941061796,0.5241379310344828,0.47586206896551725,0.8618266978922716,0.13817330210772832
raw,pre_M1_baseline_7d,full_M1_to_M3,580,4796,3.7928819976879997,29.606294528748634,7.805751549031985,0.5241379310344828,0.47586206896551725,0.8734361968306923,0.12656380316930776
m2aware,pre_M1_baseline_14d,M1_related_primary,525,3147,3.5942306892309763,92.26143335929957,25.669313223475893,0.4895238095238095,0.5104761904761905,0.9107086113759135,0.08929138862408643
m2aware,pre_M1_baseline_14d,middle_primary,525,1313,3.5942306892309763,12.42099457767602,3.455814512655453,0.4895238095238095,0.5104761904761905,0.817974105102818,0.18202589489718202
m2aware,pre_M1_baseline_14d,pre_M3_primary,525,841,3.5942306892309763,24.154509639111136,6.720355961425295,0.4895238095238095,0.5104761904761905,0.8596908442330559,0.1403091557669441
m2aware,pre_M1_baseline_14d,full_M1_to_M3,525,4738,3.5942306892309763,29.24825343561531,8.137555979155385,0.4895238095238095,0.5104761904761905,0.8723089911355002,0.1276910088644998
m2aware,pre_M1_baseline_7d,M1_related_primary,542,3147,3.544382832322234,92.26143335929957,26.03032395878384,0.4907749077490775,0.5092250922509225,0.9107086113759135,0.08929138862408643
m2aware,pre_M1_baseline_7d,middle_primary,542,1313,3.544382832322234,12.42099457767602,3.504416753293533,0.4907749077490775,0.5092250922509225,0.817974105102818,0.18202589489718202
m2aware,pre_M1_baseline_7d,pre_M3_primary,542,841,3.544382832322234,24.154509639111136,6.814870396854229,0.4907749077490775,0.5092250922509225,0.8596908442330559,0.1403091557669441
m2aware,pre_M1_baseline_7d,full_M1_to_M3,542,4738,3.544382832322234,29.24825343561531,8.252001778389225,0.4907749077490775,0.5092250922509225,0.8723089911355002,0.1276910088644998
