window_name,event_count,median_depth_km,depth_min_km,depth_max_km,frac_0_30km,frac_30_60km,frac_gt_60km
catalog_full,9108.0,12.28,0.21,52.49,0.9670619235836627,0.03293807641633729,0.0
full_m1_to_m3,4796.0,11.72,0.74,51.16,0.98790658882402,0.012093411175979984,0.0
m1_related_primary,3147.0,11.56,0.74,34.02,0.9977756593581188,0.0022243406418811567,0.0
m1_related_sens_minus14_plus28,3307.0,11.56,0.74,36.41,0.9966737224070155,0.003326277592984578,0.0
m1_related_sens_minus7_plus14,2866.0,11.56,0.74,34.02,0.9986043265875785,0.0013956734124214933,0.0
middle_phase_primary,1358.0,12.08,0.92,51.16,0.9727540500736377,0.027245949926362298,0.0
post_m3_14d,3186.0,13.08,0.21,40.45,0.9522912743251726,0.04770872567482737,0.0
post_m3_7d,2555.0,13.22,0.34,40.45,0.949119373776908,0.050880626223091974,0.0
pre_m1_baseline_14d,563.0,13.02,0.55,52.49,0.8436944937833037,0.15630550621669628,0.0
pre_m1_baseline_7d,580.0,13.03,0.55,52.49,0.8448275862068966,0.15517241379310345,0.0
pre_m3_primary,854.0,12.065000000000001,0.9,34.8,0.9812646370023419,0.01873536299765808,0.0
pre_m3_sens_28d,792.0,12.004999999999999,1.0,34.8,0.9835858585858586,0.016414141414141416,0.0
pre_m3_sens_42d,934.0,12.04,0.9,34.8,0.9828693790149893,0.017130620985010708,0.0
