event_id,time,burst_id
29,2025-06-02 03:47:03.300000+00:00,B01
32,2025-06-02 04:46:16.890000+00:00,B01
34,2025-06-02 05:54:22.330000+00:00,B01
53,2025-06-02 15:28:37.320000+00:00,B01
80,2025-06-03 14:08:31.260000+00:00,B01
81,2025-06-03 15:58:03.730000+00:00,B01
88,2025-06-03 20:50:13.380000+00:00,B01
92,2025-06-04 01:17:45.750000+00:00,B01
96,2025-06-04 03:49:05.910000+00:00,B01
99,2025-06-04 06:15:35.710000+00:00,B01
115,2025-06-04 19:13:21.640000+00:00,B01
390,2025-06-15 08:42:27+00:00,B02
394,2025-06-15 11:23:06.790000+00:00,B02
396,2025-06-15 14:50:38.770000+00:00,B02
403,2025-06-15 19:48:26.760000+00:00,B02
404,2025-06-15 19:59:30.060000+00:00,B02
406,2025-06-15 20:19:04.980000+00:00,B02
424,2025-06-16 09:56:53.660000+00:00,B02
430,2025-06-16 13:59:59.750000+00:00,B02
432,2025-06-16 17:09:15.960000+00:00,B02
436,2025-06-16 20:12:45.920000+00:00,B02
438,2025-06-16 23:12:16.400000+00:00,B02
444,2025-06-17 06:31:06.940000+00:00,B02
452,2025-06-17 19:10:11.060000+00:00,B02
455,2025-06-17 22:23:07.880000+00:00,B02
466,2025-06-18 11:47:22.250000+00:00,B02
469,2025-06-18 13:50:07.350000+00:00,B02
470,2025-06-18 13:51:58.480000+00:00,B02
472,2025-06-18 15:03:07.780000+00:00,B02
473,2025-06-18 15:04:58.960000+00:00,B02
474,2025-06-18 15:07:37.670000+00:00,B02
488,2025-06-18 22:16:22.800000+00:00,B02
489,2025-06-18 22:27:44.560000+00:00,B02
506,2025-06-19 18:48:24.080000+00:00,B02
507,2025-06-19 19:06:38.480000+00:00,B02
512,2025-06-20 01:48:39.620000+00:00,B02
635,2025-06-24 14:30:49.520000+00:00,B03
650,2025-06-25 05:12:24.050000+00:00,B03
653,2025-06-25 09:00:13.300000+00:00,B03
658,2025-06-25 14:06:22.180000+00:00,B03
659,2025-06-25 16:34:33.770000+00:00,B03
666,2025-06-25 20:39:37.160000+00:00,B03
667,2025-06-25 20:46:34.020000+00:00,B03
669,2025-06-25 23:08:30.640000+00:00,B03
670,2025-06-25 23:25:56.720000+00:00,B03
673,2025-06-26 03:08:56.090000+00:00,B03
678,2025-06-26 08:57:01.880000+00:00,B03
681,2025-06-26 10:42:43.740000+00:00,B03
682,2025-06-26 10:46:15.270000+00:00,B03
683,2025-06-26 10:48:21.730000+00:00,B03
684,2025-06-26 11:07:05.220000+00:00,B03
685,2025-06-26 11:18:20.730000+00:00,B03
686,2025-06-26 11:25:18.570000+00:00,B03
687,2025-06-26 11:26:49.500000+00:00,B03
688,2025-06-26 11:32:43.200000+00:00,B03
