window_name,window_kind,start_time,end_time
catalog_full,context,2025-06-01 00:13:38.900000+00:00,2026-05-01 14:44:22.450000+00:00
full_m1_to_m3,primary,2025-11-09 08:03:39.240000+00:00,2026-04-20 07:52:58.060000+00:00
pre_m1_baseline_14d,primary,2025-06-01 00:13:38.900000+00:00,2025-10-26 08:03:39.240000+00:00
pre_m1_baseline_7d,sensitivity,2025-06-01 00:13:38.900000+00:00,2025-11-02 08:03:39.240000+00:00
m1_related_primary,primary,2025-10-26 08:03:39.240000+00:00,2025-11-30 08:03:39.240000+00:00
m1_related_sens_minus7_plus14,sensitivity,2025-11-02 08:03:39.240000+00:00,2025-11-23 08:03:39.240000+00:00
m1_related_sens_minus14_plus28,sensitivity,2025-10-26 08:03:39.240000+00:00,2025-12-07 08:03:39.240000+00:00
middle_phase_primary,primary,2025-11-30 08:03:39.240000+00:00,2026-03-16 07:52:58.060000+00:00
pre_m3_primary,primary,2026-03-16 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00
pre_m3_sens_42d,sensitivity,2026-03-09 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00
pre_m3_sens_28d,sensitivity,2026-03-23 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00
post_m3_7d,context,2026-04-20 07:52:58.060000+00:00,2026-04-27 07:52:58.060000+00:00
post_m3_14d,context,2026-04-20 07:52:58.060000+00:00,2026-05-01 14:44:22.450000+00:00
