event_code,origin_time,lat_deg,lon_deg,depth_km_mecha,mag_1,mag_1_type,mag_2,mag_2_type,region_name,n_hypo_stations,m_method,m_source,P_axis_azimuth,P_axis_dip,T_axis_azimuth,T_axis_dip,N_axis_azimuth,N_axis_dip,strike_plane1,dip_plane1,rake_plane1,strike_plane2,dip_plane2,rake_plane2,focal_mech_score,n_mech_stations,focal_mech_projection,source_file,time_round_s,event_id,time,lat,lon,depth_km_cat,mag,phase_primary,within_60km_either_m1_m3,within_60km_m1,within_60km_m3,along_axis_30km,dist_match_km,depth_abs_diff_km,time_abs_s
J2025100123500609,2025-10-01 14:50:06.090000+00:00,38.69883333333333,141.97583333333333,58.73,4.6,D,4.5,W,KINKAZAN REGION,40,I,JMAM,303.0,24.0,158.0,61.0,40.0,15.0,5.0,25.0,52.0,225.0,71.0,106.0,96.0,225.0,LOW,mecha_20251001_7.txt,2025-10-01 14:50:06+00:00,3601.0,2025-10-01 14:50:06.090000+00:00,38.698857,141.977311,58.74,4.6,baseline_to_M1_minus14d,False,False,False,False,0.12826083911469757,0.010000000000005116,0.0
J2025100423151668,2025-10-04 14:15:16.680000+00:00,39.65383333333333,142.26833333333337,32.97,4.4,D,4.6,V,E OFF IWATE PREF,40,,,,,,,,,,,,,,,,,,mecha_20251001_7.txt,2025-10-04 14:15:17+00:00,3670.0,2025-10-04 14:15:16.680000+00:00,39.655359,142.269173,33.02,4.4,baseline_to_M1_minus14d,False,False,False,False,0.1842474925274006,0.05000000000000426,0.0
J2025100611310731,2025-10-06 02:31:07.310000+00:00,39.759166666666665,141.8375,58.62,3.7,V,,,NORTHERN IWATE PREF,40,I,JMAM,102.0,22.0,323.0,62.0,199.0,17.0,164.0,27.0,52.0,26.0,69.0,108.0,99.0,91.0,LOW,mecha_20251001_7.txt,2025-10-06 02:31:07+00:00,3719.0,2025-10-06 02:31:07.310000+00:00,39.759688,141.836523,58.62,3.7,baseline_to_M1_minus14d,False,False,False,False,0.10166117778711903,0.0,0.0
J2025100816163326,2025-10-08 07:16:33.260000+00:00,41.0095,143.1265,23.13,3.7,V,,,E OFF AOMORI PREF,35,,,,,,,,,,,,,,,,,,mecha_20251008_7.txt,2025-10-08 07:16:33+00:00,3769.0,2025-10-08 07:16:33.270000+00:00,41.009119,143.126937,22.92,3.7,baseline_to_M1_minus14d,False,False,False,False,0.05602984765030335,0.2099999999999973,0.01
J2025101407060327,2025-10-13 22:06:03.270000+00:00,39.518,142.01716666666667,19.54,4.3,D,4.5,V,SOUTHERN IWATE PREF,20,I,JMAM,230.0,49.0,115.0,20.0,11.0,34.0,247.0,39.0,-28.0,359.0,73.0,-126.0,92.0,123.0,LOW,mecha_20251008_7.txt,2025-10-13 22:06:03+00:00,3904.0,2025-10-13 22:06:03.280000+00:00,39.51746,142.017367,19.54,4.3,baseline_to_M1_minus14d,False,False,False,False,0.06245586931512737,0.0,0.01
J2025101517502029,2025-10-15 08:50:20.290000+00:00,38.532833333333336,141.41583333333332,71.83,3.9,D,4.0,V,NORTHERN MIYAGI PREF,40,I,JMAM,255.0,55.0,62.0,34.0,156.0,6.0,126.0,12.0,-120.0,337.0,79.0,-84.0,94.0,212.0,LOW,mecha_20251015_7.txt,2025-10-15 08:50:20+00:00,3938.0,2025-10-15 08:50:20.290000+00:00,38.531966,141.430566,71.8,3.9,baseline_to_M1_minus14d,False,False,False,False,1.2851140253531006,0.030000000000001137,0.0
J2025102114204676,2025-10-21 05:20:46.760000+00:00,38.91916666666667,142.11833333333334,43.8,3.7,V,,,KINKAZAN REGION,38,,,,,,,,,,,,,,,,,,mecha_20251015_7.txt,2025-10-21 05:20:47+00:00,4044.0,2025-10-21 05:20:46.760000+00:00,38.919373,142.118229,43.79,3.7,baseline_to_M1_minus14d,False,False,False,False,0.02465489435766865,0.00999999999999801,0.0
J2025111311334922,2025-11-13 02:33:49.220000+00:00,39.80866666666667,142.34866666666667,13.63,3.7,V,,,E OFF IWATE PREF,40,,,,,,,,,,,,,,,,,,mecha_20251112_7.txt,2025-11-13 02:33:49+00:00,6471.0,2025-11-13 02:33:49.210000+00:00,39.809644,142.348877,13.71,3.7,M1_related_M1minus14d_to_M1plus21d,False,False,False,False,0.1101495978146311,0.08000000000000007,0.01
J2025111406233075,2025-11-13 21:23:30.750000+00:00,40.1275,142.47583333333333,38.38,3.7,V,,,NE OFF IWATE PREF,40,,,,,,,,,,,,,,,,,,mecha_20251112_7.txt,2025-11-13 21:23:31+00:00,6609.0,2025-11-13 21:23:30.760000+00:00,40.12819,142.475081,38.32,3.7,M1_related_M1minus14d_to_M1plus21d,False,False,False,False,0.09989002344481444,0.060000000000002274,0.01
J2025111408052175,2025-11-13 23:05:21.750000+00:00,39.614333333333335,141.35966666666667,84.99,3.7,V,,,NORTHERN IWATE PREF,39,I,JMAM,273.0,20.0,180.0,8.0,69.0,68.0,315.0,70.0,-9.0,48.0,82.0,-160.0,98.0,175.0,LOW,mecha_20251112_7.txt,2025-11-13 23:05:22+00:00,6624.0,2025-11-13 23:05:21.760000+00:00,39.614091,141.355485,85.01,3.7,M1_related_M1minus14d_to_M1plus21d,False,False,False,False,0.3592119187050352,0.020000000000010232,0.01
