subset,window_size,step,window_index,start_event_index_subset,end_event_index_subset,start_time,end_time,median_time,median_time_num,phase_mode,m2_related_fraction,mc_maxc,mc_ks,mc_bstab,mc_adopted,mc_method_count,mc_spread,b_value,b_std,n_total,n_above_mc,fit_mag_min,fit_mag_max,fit_mag_span,reliability,reliability_reason
combined_local_m2aware,500,100,0,0,499,2025-06-02 03:47:03.300000+00:00,2025-10-05 20:14:02.200000+00:00,2025-07-20 15:02:01.670000+00:00,20289.626408217595,baseline_to_M1_minus14d,0.0,1.5,1.1,1.1,1.1,3,0.3999999999999999,0.7677517628174639,0.039403275709151565,500,385,1.1,3.9,2.8,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,1,100,599,2025-06-26 11:25:18.570000+00:00,2025-11-03 19:16:06.620000+00:00,2025-08-12 01:29:07.690000+00:00,20312.061894560185,baseline_to_M1_minus14d,0.0,1.5,1.1,1.1,1.1,3,0.3999999999999999,0.7070016825594595,0.035177085932118164,500,419,1.1,5.3,4.199999999999999,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,2,200,699,2025-07-09 01:26:45.450000+00:00,2025-11-06 12:28:30.690000+00:00,2025-09-15 02:42:18.920000+00:00,20346.112718981483,baseline_to_M1_minus14d,0.0,1.5999999999999999,1.2,1.2,1.2,3,0.3999999999999999,0.7016922552852357,0.03534340994887375,500,407,1.2,5.3,4.1,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,3,300,799,2025-07-31 14:27:49.230000+00:00,2025-11-08 04:54:50.520000+00:00,2025-10-21 09:57:39.830000+00:00,20382.415044328704,baseline_to_M1_minus14d,0.0,1.5999999999999999,1.3,1.3,1.3,3,0.2999999999999998,0.6786058490460203,0.03622364821418376,500,390,1.3,5.3,4.0,usable_with_caution,moderate_mc_agreement_moderate_span
combined_local_m2aware,500,100,4,400,899,2025-08-23 09:30:34.060000+00:00,2025-11-08 21:47:35+00:00,2025-11-04 17:14:29.840000+00:00,20396.718400925925,M1_related_M1minus14d_to_M1plus21d,0.0,1.5999999999999999,2.0,1.3,1.5999999999999999,3,0.7,0.6457549541681348,0.04430149730394374,500,286,1.6,5.5,3.9,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,5,500,999,2025-10-06 04:35:33.780000+00:00,2025-11-09 01:40:18.200000+00:00,2025-11-08 00:22:55.490000+00:00,20400.015920023146,M1_related_M1minus14d_to_M1plus21d,0.0,1.8,1.3,1.4,1.4,3,0.5,0.5531040510499471,0.02832277926848324,500,422,1.4,5.9,4.5,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,6,600,1099,2025-11-03 19:23:57.560000+00:00,2025-11-09 06:30:12.560000+00:00,2025-11-08 17:00:26.080000+00:00,20400.708635185183,M1_related_M1minus14d_to_M1plus21d,0.0,1.8,1.4,1.4,1.4,3,0.40000000000000013,0.5777225496630604,0.02970665876029944,500,422,1.4,5.9,4.5,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,7,700,1199,2025-11-06 13:25:41.550000+00:00,2025-11-09 09:39:11.660000+00:00,2025-11-08 23:41:25.760000+00:00,20400.987103703705,M1_related_M1minus14d_to_M1plus21d,0.0,1.8,1.3,1.3,1.3,3,0.5,0.38737385150255244,0.01689994188275244,500,455,1.3,6.9,5.6000000000000005,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,8,800,1299,2025-11-08 05:51:55.160000+00:00,2025-11-09 11:56:38.130000+00:00,2025-11-09 03:55:54.400000+00:00,20401.163824074076,M1_related_M1minus14d_to_M1plus21d,0.0,1.8,2.8,1.4,1.8,3,1.4,0.3743827630374546,0.016721442489034746,500,335,1.8,6.9,5.1000000000000005,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,9,900,1399,2025-11-08 21:56:42.360000+00:00,2025-11-09 14:57:54.830000+00:00,2025-11-09 08:30:24.630000+00:00,20401.35445173611,M1_related_M1minus14d_to_M1plus21d,0.0,1.8,2.0,2.0,2.0,3,0.19999999999999996,0.4208219797562248,0.019934123806672113,500,326,2.0,6.9,4.9,robust,good_mc_agreement_good_span_good_n
