subset,window_size,step,reliability,reliability_reason
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,robust,good_mc_agreement_good_span_good_n
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,robust,good_mc_agreement_good_span_good_n
combined_local,500,100,robust,good_mc_agreement_good_span_good_n
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,robust,good_mc_agreement_good_span_good_n
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,robust,good_mc_agreement_good_span_good_n
combined_local,500,100,robust,good_mc_agreement_good_span_good_n
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,robust,good_mc_agreement_good_span_good_n
combined_local,500,100,robust,good_mc_agreement_good_span_good_n
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,robust,good_mc_agreement_good_span_good_n
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,robust,good_mc_agreement_good_span_good_n
combined_local,500,100,robust,good_mc_agreement_good_span_good_n
combined_local,500,100,robust,good_mc_agreement_good_span_good_n
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,robust,good_mc_agreement_good_span_good_n
combined_local,500,100,robust,good_mc_agreement_good_span_good_n
combined_local,500,100,robust,good_mc_agreement_good_span_good_n
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,usable_with_caution,moderate_mc_agreement_moderate_span
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,robust,good_mc_agreement_good_span_good_n
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,usable_with_caution,moderate_mc_agreement_moderate_span
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,robust,good_mc_agreement_good_span_good_n
combined_local,500,100,robust,good_mc_agreement_good_span_good_n
combined_local,500,100,robust,good_mc_agreement_good_span_good_n
combined_local,500,100,robust,good_mc_agreement_good_span_good_n
combined_local,500,100,robust,good_mc_agreement_good_span_good_n
combined_local,500,100,usable_with_caution,moderate_mc_agreement_moderate_span
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,robust,good_mc_agreement_good_span_good_n
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,exploratory,mc_method_disagreement
combined_local,500,100,robust,good_mc_agreement_good_span_good_n
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,robust,good_mc_agreement_good_span_good_n
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,robust,good_mc_agreement_good_span_good_n
combined_local,500,200,robust,good_mc_agreement_good_span_good_n
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,robust,good_mc_agreement_good_span_good_n
combined_local,500,200,robust,good_mc_agreement_good_span_good_n
combined_local,500,200,robust,good_mc_agreement_good_span_good_n
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,robust,good_mc_agreement_good_span_good_n
combined_local,500,200,robust,good_mc_agreement_good_span_good_n
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,usable_with_caution,moderate_mc_agreement_moderate_span
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,robust,good_mc_agreement_good_span_good_n
combined_local,500,200,robust,good_mc_agreement_good_span_good_n
combined_local,500,200,robust,good_mc_agreement_good_span_good_n
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,robust,good_mc_agreement_good_span_good_n
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,exploratory,mc_method_disagreement
combined_local,500,200,usable_with_caution,moderate_mc_agreement_moderate_span
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,usable_with_caution,moderate_mc_agreement_moderate_span
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,robust,good_mc_agreement_good_span_good_n
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,robust,good_mc_agreement_good_span_good_n
combined_local_m2aware,500,100,robust,good_mc_agreement_good_span_good_n
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,robust,good_mc_agreement_good_span_good_n
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,robust,good_mc_agreement_good_span_good_n
combined_local_m2aware,500,100,robust,good_mc_agreement_good_span_good_n
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,robust,good_mc_agreement_good_span_good_n
combined_local_m2aware,500,100,robust,good_mc_agreement_good_span_good_n
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,robust,good_mc_agreement_good_span_good_n
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,robust,good_mc_agreement_good_span_good_n
combined_local_m2aware,500,100,robust,good_mc_agreement_good_span_good_n
combined_local_m2aware,500,100,robust,good_mc_agreement_good_span_good_n
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,robust,good_mc_agreement_good_span_good_n
combined_local_m2aware,500,100,robust,good_mc_agreement_good_span_good_n
combined_local_m2aware,500,100,robust,good_mc_agreement_good_span_good_n
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,usable_with_caution,moderate_mc_agreement_moderate_span
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,robust,good_mc_agreement_good_span_good_n
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,usable_with_caution,moderate_mc_agreement_moderate_span
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
combined_local_m2aware,500,100,exploratory,mc_method_disagreement
