metric,value
catalog_total_events,25646.0
catalog_local_zone_events,9109.0
mecha_total_rows,354.0
matched_mecha_rows,240.0
matched_fraction_of_mecha_rows,0.6779661016949152
unique_catalog_events_with_mecha,240.0
catalog_fraction_with_mecha_all,0.009358184512204633
catalog_fraction_with_mecha_local_zone,0.000878252277966846
best_match_time_tol_sec,1.0
best_match_horizontal_tol_km,2.0
best_match_depth_tol_km,2.0
median_match_time_diff_sec,0.01
median_match_horizontal_diff_km,0.08519960513637341
median_match_depth_diff_km,0.0799999999999983
p95_match_time_diff_sec,0.02
p95_match_horizontal_diff_km,0.22584511531398305
p95_match_depth_diff_km,0.3710000000000006
top_grid_matched_fraction,0.6779661016949152
top_grid_candidate_pairs,241.0
top_grid_ambiguous_mecha_rows,1.0
top_grid_ambiguous_catalog_events,0.0
