mecha_id,event_code,catalog_event_id,time_diff_sec,horizontal_diff_km,depth_diff_km,mag_diff,match_score
262,J2026020715170682,17525,0.0,0.005275177371666574,0.0799999999999983,0.0,0.030550354743332724
325,J2026042315411456,23512,0.01,0.014815591153034654,0.03999999999999915,0.0,0.0496311823060691
153,J2025121216090029,10436,0.0,0.019598520731935264,0.049999999999998934,0.0,0.05169704146387026
13,J2025102114204676,4044,0.0,0.02465489435766865,0.00999999999999801,0.0,0.0518097887153368
63,J2025120900053163,8539,0.0,0.02387352337178524,0.03999999999999915,0.0,0.057747046743570264
151,J2025121214550202,10387,0.0,0.008202377250639496,0.1700000000000017,0.0,0.05890475450127942
276,J2026022202090406,18257,0.0,0.021621545153795375,0.07000000000000028,0.0,0.06074309030759082
157,J2025121219143313,10585,0.02,0.013846874439295163,0.0799999999999983,0.0,0.0676937488785899
143,J2025121212261145,10259,0.0,0.03717350726306361,0.010000000000001563,0.0,0.0768470145261276
79,J2025120903535291,8756,0.01,0.018602316362802348,0.120000000000001,0.0,0.07720463272560495
216,J2026010421430477,15229,0.0,0.03682945214361828,0.019999999999999574,0.0,0.07865890428723646
213,J2026010111224699,14852,0.0,0.02853145445179709,0.10000000000000142,0.0,0.08206290890359454
226,J2026010914592381,15643,0.0,0.03375988207036156,0.060000000000002274,0.0,0.08251976414072369
203,J2025122413043054,13877,0.0,0.03140675394068923,0.0799999999999983,0.0,0.08281350788137803
99,J2025120909090467,9000,0.0,0.02647648494619736,0.11999999999999744,0.0,0.08295296989239409
211,J2025123123500184,14753,0.01,0.026238702196024224,0.10000000000000142,0.0,0.0874774043920488
270,J2026021702525369,18028,0.01,0.01883829264465216,0.1599999999999966,0.0,0.08767658528930347
233,J2026011012270797,15707,0.0,0.039275677568146455,0.03999999999999915,0.0,0.0885513551362927
241,J2026011704341473,16110,0.01,0.03826865582256369,0.00999999999999801,0.0,0.08903731164512688
307,J2026040317514467,20670,0.01,0.04066081249005619,0.00999999999999801,0.0,0.09382162498011187
119,J2025121202041771,10126,0.01,0.03724033551265711,0.05000000000000071,0.0,0.0969806710253144
319,J2026042018272800,21716,0.01,0.027256087183954978,0.129999999999999,0.0,0.09701217436790971
36,J2025112312374483,7672,0.0,0.04577445068071258,0.029999999999997584,0.0,0.09904890136142455
148,J2025121213582278,10343,0.01,0.034685631029624894,0.08000000000000185,0.0,0.09937126205925025
159,J2025121220455032,10648,0.0,0.045341915012118726,0.03999999999999915,0.0,0.10068383002423724
223,J2026010801072375,15507,0.0,0.044143900995404974,0.04999999999999716,0.0,0.10078780199080924
218,J2026010612403987,15391,0.0,0.04934211117912611,0.00999999999999801,0.0,0.10118422235825172
275,J2026022023163059,18193,0.0,0.046216438402668945,0.03999999999999915,0.0,0.10243287680533768
258,J2026013110185287,17152,0.01,0.04411443377571984,0.01999999999999602,0.0,0.10322886755143867
280,J2026022503164027,18408,0.01,0.04492155767806374,0.020000000000003126,0.0,0.10484311535612825
107,J2025120919044907,9330,0.0,0.03868572184543577,0.10999999999999943,0.0,0.1048714436908714
95,J2025120908030994,8950,0.02,0.010188284279950504,0.26000000000000156,0.0,0.1053765685599014
217,J2026010612340433,15388,0.01,0.04874396967075103,0.0,0.0,0.10748793934150205
248,J2026012309201072,16578,0.01,0.04807823058439827,0.00999999999999801,0.0,0.10865646116879604
104,J2025120917403053,9295,0.0,0.044805996781118566,0.0799999999999983,0.0,0.1096119935622367
138,J2025121212120318,10244,0.0,0.0062387365354005814,0.39000000000000057,0.0,0.1099774730708013
267,J2026021516193907,17968,0.01,0.046340024747468886,0.030000000000001137,0.0,0.11018004949493805
64,J2025120900095567,8544,0.01,0.050259003125572035,0.0,0.0,0.11051800625114407
322,J2026042201180697,22757,0.0,0.04322129679280256,0.10999999999999943,0.0,0.11394259358560498
265,J2026021202282533,17756,0.01,0.05075932521319282,0.00999999999999801,0.0,0.11401865042638513
161,J2025121222201040,10706,0.01,0.038430373656358166,0.10999999999999943,0.0,0.11436074731271618
