mecha_id,event_code_x,catalog_event_id,time_diff_sec,horizontal_diff_km,depth_diff_km,mag_diff,match_score,event_code_y,mecha_time,mecha_lat,mecha_lon,mecha_depth_km,mecha_mag_1,mecha_mag_2,focal_mech_score,focal_mech_projection,m_method,m_source,n_mech_stations,has_focal_planes,has_axes,has_complete_mechanism,P_axis_azimuth,T_axis_azimuth,strike_plane1,dip_plane1,rake_plane1,strike_plane2,dip_plane2,rake_plane2,catalog_time,datetime,catalog_lat,catalog_lon,catalog_depth_km,catalog_mag,phase_primary,m2_related_flag,dist_m1_km,dist_m3_km,within_60km_either_m1_m3,within_60km_m1,within_60km_m3,within_30km_m1,within_30km_m3,along_axis_20km,along_axis_30km,off_axis_20km,off_axis_30km,within_both_60km,mag_bin,mechanism_detail_class,is_local_zone_match
262,J2026020715170682,17525,0.0,0.005275177371666574,0.0799999999999983,0.0,0.030550354743332724,J2026020715170682,2026-02-07 06:17:06.820000+00:00,40.90916666666666,142.10783333333333,55.55,3.7,,,,,,,False,False,False,,,,,,,,,2026-02-07 06:17:06.820000+00:00,2026-02-07T06:17:06.820000Z,40.9092,142.107878,55.47,3.7,middle_M1plus21d_to_M3minus35d,False,205.4825856033067,148.25366257325874,False,False,False,False,False,False,False,False,False,False,3.5-3.9,metadata_only,False
325,J2026042315411456,23512,0.01,0.014815591153034654,0.03999999999999915,0.0,0.0496311823060691,J2026042315411456,2026-04-23 06:41:14.560000+00:00,40.09733333333333,142.43933333333334,37.93,4.0,4.0,,,,,,False,False,False,,,,,,,,,2026-04-23 06:41:14.550000+00:00,2026-04-23T06:41:14.550000Z,40.097229,142.439225,37.97,4.0,post_M3_context,False,119.61993125965988,67.43035206243144,False,False,False,False,False,False,False,False,False,False,4.0-4.4,metadata_only,False
153,J2025121216090029,10436,0.0,0.019598520731935264,0.049999999999998934,0.0,0.05169704146387026,J2025121216090029,2025-12-12 07:09:00.290000+00:00,40.89483333333333,142.953,15.93,3.5,,,,,,,False,False,False,,,,,,,,,2025-12-12 07:09:00.290000+00:00,2025-12-12T07:09:00.290000Z,40.89484,142.952767,15.88,3.5,middle_M1plus21d_to_M3minus35d,True,172.54973879181438,118.342047620264,False,False,False,False,False,False,False,False,False,False,3.5-3.9,metadata_only,False
13,J2025102114204676,4044,0.0,0.02465489435766865,0.00999999999999801,0.0,0.0518097887153368,J2025102114204676,2025-10-21 05:20:46.760000+00:00,38.91916666666667,142.11833333333334,43.8,3.7,,,,,,,False,False,False,,,,,,,,,2025-10-21 05:20:46.760000+00:00,2025-10-21T05:20:46.760000Z,38.919373,142.118229,43.79,3.7,baseline_to_M1_minus14d,False,131.2115331934162,135.9975584848506,False,False,False,False,False,False,False,False,False,False,3.5-3.9,metadata_only,False
63,J2025120900053163,8539,0.0,0.02387352337178524,0.03999999999999915,0.0,0.057747046743570264,J2025120900053163,2025-12-08 15:05:31.630000+00:00,41.13183333333333,142.70216666666667,20.74,3.7,,,,,,,False,False,False,,,,,,,,,2025-12-08 15:05:31.630000+00:00,2025-12-08T15:05:31.630000Z,41.131624,142.70223,20.7,3.7,middle_M1plus21d_to_M3minus35d,True,204.0841396809052,148.46688773143518,False,False,False,False,False,False,False,False,False,False,3.5-3.9,metadata_only,False
151,J2025121214550202,10387,0.0,0.008202377250639496,0.1700000000000017,0.0,0.05890475450127942,J2025121214550202,2025-12-12 05:55:02.020000+00:00,40.936,142.93383333333333,20.17,3.7,,,,,,,False,False,False,,,,,,,,,2025-12-12 05:55:02.020000+00:00,2025-12-12T05:55:02.020000Z,40.935942,142.933773,20.0,3.7,middle_M1plus21d_to_M3minus35d,True,177.38329244744193,123.10108935054606,False,False,False,False,False,False,False,False,False,False,3.5-3.9,metadata_only,False
276,J2026022202090406,18257,0.0,0.021621545153795375,0.07000000000000028,0.0,0.06074309030759082,J2026022202090406,2026-02-21 17:09:04.060000+00:00,40.9105,142.11116666666666,55.17,3.8,3.9,95.0,LOW,I,JMAM,133.0,True,True,True,110.0,321.0,171.0,22.0,52.0,31.0,72.0,104.0,2026-02-21 17:09:04.060000+00:00,2026-02-21T17:09:04.060000Z,40.910693,142.111198,55.24,3.8,middle_M1plus21d_to_M3minus35d,False,205.45424562680088,148.21773914174565,False,False,False,False,False,False,False,False,False,False,3.5-3.9,complete_mechanism,False
157,J2025121219143313,10585,0.02,0.013846874439295163,0.0799999999999983,0.0,0.0676937488785899,J2025121219143313,2025-12-12 10:14:33.130000+00:00,40.972,143.0035,18.89,4.1,,,,,,,False,False,False,,,,,,,,,2025-12-12 10:14:33.110000+00:00,2025-12-12T10:14:33.110000Z,40.971981,143.003337,18.97,4.1,middle_M1plus21d_to_M3minus35d,False,179.73924710691125,126.3199104364809,False,False,False,False,False,False,False,False,False,False,4.0-4.4,metadata_only,False
143,J2025121212261145,10259,0.0,0.03717350726306361,0.010000000000001563,0.0,0.0768470145261276,J2025121212261145,2025-12-12 03:26:11.450000+00:00,40.99183333333333,142.99866666666668,17.85,4.4,,,,,,,False,False,False,,,,,,,,,2025-12-12 03:26:11.450000+00:00,2025-12-12T03:26:11.450000Z,40.992061,142.998991,17.84,4.4,middle_M1plus21d_to_M3minus35d,True,181.99427680965348,128.57858958853015,False,False,False,False,False,False,False,False,False,False,4.0-4.4,metadata_only,False
79,J2025120903535291,8756,0.01,0.018602316362802348,0.120000000000001,0.0,0.07720463272560495,J2025120903535291,2025-12-08 18:53:52.910000+00:00,40.88016666666667,143.15183333333334,16.56,3.5,,,,,,,False,False,False,,,,,,,,,2025-12-08 18:53:52.920000+00:00,2025-12-08T18:53:52.920000Z,40.880229,143.151628,16.68,3.5,middle_M1plus21d_to_M3minus35d,False,167.1238360140629,115.4466946748077,False,False,False,False,False,False,False,False,False,False,3.5-3.9,metadata_only,False
