region,phase,start_time,end_time,duration_days,n_total,rate_events_per_day,mc,mc_method,b_value,b_std,n_complete,reliability_flag,reliable
whole_oriented_area,pre_M1_reference,2020-01-01 00:00:00.000,2025-10-26 08:03:39.240,2125.3358708333335,12094,5.690394711711144,1.5,maxc,0.8106860183674454,0.011153456307769453,5686,reliable,True
whole_oriented_area,pre_M1_reference_7d,2020-01-01 00:00:00.000,2025-11-02 08:03:39.240,2132.3358708333335,12127,5.687190355832955,1.5,maxc,0.8108010794998266,0.011131745476020007,5707,reliable,True
whole_oriented_area,M1_related,2025-10-26 08:03:39.240,2025-11-30 08:03:39.240,35.0,3297,94.2,1.8,maxc,0.607666410366185,0.0152094838988211,1731,reliable,True
whole_oriented_area,middle_phase,2025-11-30 08:03:39.240,2026-03-16 07:52:58.060,105.9925789351852,1645,15.519954477246213,1.5,maxc,0.7734015917820491,0.027605363782029546,983,reliable,True
whole_oriented_area,final_pre_M3,2026-03-16 07:52:58.060,2026-04-20 07:52:58.060,35.0,953,27.228571428571428,1.5,maxc,0.6528362060170304,0.03055662060688599,485,reliable,True
whole_oriented_area,post_M3_context,2026-04-20 07:52:58.060,2026-05-22 23:59:59.000,32.67153865740741,5302,162.28191930586996,1.5999999999999999,maxc,0.6628344886650771,0.01260103895671221,2670,reliable,True
M1_80km,pre_M1_reference,2020-01-01 00:00:00.000,2025-10-26 08:03:39.240,2125.3358708333335,9438,4.440709880033883,1.5,maxc,0.8093764264618839,0.012098239222446235,4693,reliable,True
M1_80km,pre_M1_reference_7d,2020-01-01 00:00:00.000,2025-11-02 08:03:39.240,2132.3358708333335,9460,4.436449308664942,1.5,maxc,0.8096727817559135,0.012084638984936042,4708,reliable,True
M1_80km,M1_related,2025-10-26 08:03:39.240,2025-11-30 08:03:39.240,35.0,3340,95.42857142857143,1.8,maxc,0.6063601189501492,0.015108173271746574,1739,reliable,True
M1_80km,middle_phase,2025-11-30 08:03:39.240,2026-03-16 07:52:58.060,105.9925789351852,1529,14.425538234473835,1.5,maxc,0.7647488686617278,0.0273841755883728,935,reliable,True
M1_80km,final_pre_M3,2026-03-16 07:52:58.060,2026-04-20 07:52:58.060,35.0,931,26.6,1.5,maxc,0.6561229430164298,0.031048696718277105,486,reliable,True
M1_80km,post_M3_context,2026-04-20 07:52:58.060,2026-05-22 23:59:59.000,32.67153865740741,4416,135.16351483491545,1.5999999999999999,maxc,0.6574253225189592,0.013406699257957429,2285,reliable,True
M1_60km,pre_M1_reference,2020-01-01 00:00:00.000,2025-10-26 08:03:39.240,2125.3358708333335,6408,3.015052861968332,1.5,maxc,0.778273302721622,0.013307961534848254,3510,reliable,True
M1_60km,pre_M1_reference_7d,2020-01-01 00:00:00.000,2025-11-02 08:03:39.240,2132.3358708333335,6426,3.0135965388457633,1.5,maxc,0.7786004047577478,0.013291067779705823,3523,reliable,True
M1_60km,M1_related,2025-10-26 08:03:39.240,2025-11-30 08:03:39.240,35.0,3186,91.02857142857142,1.8,maxc,0.6070450545205336,0.015333411627167146,1700,reliable,True
M1_60km,middle_phase,2025-11-30 08:03:39.240,2026-03-16 07:52:58.060,105.9925789351852,1295,12.217836503364039,1.5,maxc,0.7555964788206864,0.02902619880006377,820,reliable,True
M1_60km,final_pre_M3,2026-03-16 07:52:58.060,2026-04-20 07:52:58.060,35.0,820,23.428571428571427,1.5,maxc,0.6456911172017575,0.03243468310375526,432,reliable,True
M1_60km,post_M3_context,2026-04-20 07:52:58.060,2026-05-22 23:59:59.000,32.67153865740741,3271,100.11772124660517,1.7,maxc,0.6147328411160035,0.014441334765606592,1587,reliable,True
M3_80km,pre_M1_reference,2020-01-01 00:00:00.000,2025-10-26 08:03:39.240,2125.3358708333335,18141,8.535592067566716,1.4,maxc,0.8074677050802123,0.009114087428714461,8874,reliable,True
M3_80km,pre_M1_reference_7d,2020-01-01 00:00:00.000,2025-11-02 08:03:39.240,2132.3358708333335,18193,8.531957956928256,1.4,maxc,0.8075721923608661,0.00909077759120341,8910,reliable,True
M3_80km,M1_related,2025-10-26 08:03:39.240,2025-11-30 08:03:39.240,35.0,3262,93.2,1.8,maxc,0.5986222325065073,0.015283233772143207,1648,reliable,True
M3_80km,middle_phase,2025-11-30 08:03:39.240,2026-03-16 07:52:58.060,105.9925789351852,1998,18.850376319475945,1.5,maxc,0.7533600437863391,0.024916640936311962,1121,reliable,True
M3_80km,final_pre_M3,2026-03-16 07:52:58.060,2026-04-20 07:52:58.060,35.0,1172,33.48571428571429,1.5,maxc,0.6410542745916663,0.02766358239464629,561,reliable,True
M3_80km,post_M3_context,2026-04-20 07:52:58.060,2026-05-22 23:59:59.000,32.67153865740741,6453,197.51135897411896,1.5999999999999999,maxc,0.6871581236945987,0.012016230137744872,3204,reliable,True
M3_60km,pre_M1_reference,2020-01-01 00:00:00.000,2025-10-26 08:03:39.240,2125.3358708333335,8059,3.7918712569604853,1.5,maxc,0.834778976727102,0.01419447540021938,4018,reliable,True
M3_60km,pre_M1_reference_7d,2020-01-01 00:00:00.000,2025-11-02 08:03:39.240,2132.3358708333335,8077,3.7878648061402473,1.5,maxc,0.8349636208411017,0.014177085200362316,4030,reliable,True
M3_60km,M1_related,2025-10-26 08:03:39.240,2025-11-30 08:03:39.240,35.0,2078,59.371428571428574,1.8,maxc,0.5565389940425096,0.01666178342544312,1165,reliable,True
M3_60km,middle_phase,2025-11-30 08:03:39.240,2026-03-16 07:52:58.060,105.9925789351852,1224,11.547978285805085,1.5,maxc,0.713527668583117,0.029255001347459307,748,reliable,True
M3_60km,final_pre_M3,2026-03-16 07:52:58.060,2026-04-20 07:52:58.060,35.0,761,21.742857142857144,1.5,maxc,0.631949210222432,0.03338314434527479,398,reliable,True
M3_60km,post_M3_context,2026-04-20 07:52:58.060,2026-05-22 23:59:59.000,32.67153865740741,5462,167.17914810423645,1.7,maxc,0.6826483155852638,0.013725632856337414,2440,reliable,True
