region,phase,event_count
M1_80km,M1_related,3340
M1_80km,final_pre_M3,931
M1_80km,middle_phase,1529
M1_80km,post_M3_context,4416
M1_80km,pre_M1_reference,9438
M1_60km,M1_related,3186
M1_60km,final_pre_M3,820
M1_60km,middle_phase,1295
M1_60km,post_M3_context,3271
M1_60km,pre_M1_reference,6408
M3_80km,M1_related,3262
M3_80km,final_pre_M3,1172
M3_80km,middle_phase,1998
M3_80km,post_M3_context,6453
M3_80km,pre_M1_reference,18141
M3_60km,M1_related,2078
M3_60km,final_pre_M3,761
M3_60km,middle_phase,1224
M3_60km,post_M3_context,5462
M3_60km,pre_M1_reference,8059
