check,status,detail
file_exists:m69_centered_event_table.csv,ok,<CASE_ROOT>/run/04_1A_M1_migration/exp_run/outputs/01_sanriku_m69_catalog_screening/m69_centered_event_table.csv
file_exists:mainshock_reference_selection.json,ok,<CASE_ROOT>/run/04_1A_M1_migration/exp_run/outputs/01_sanriku_m69_catalog_screening/mainshock_reference_selection.json
file_exists:largest_early_aftershock.csv,ok,<CASE_ROOT>/run/04_1A_M1_migration/exp_run/outputs/01_sanriku_m69_catalog_screening/largest_early_aftershock.csv
file_exists:window_rate_magnitude_summary.csv,ok,<CASE_ROOT>/run/04_1A_M1_migration/exp_run/outputs/01_sanriku_m69_catalog_screening/window_rate_magnitude_summary.csv
file_exists:window_rate_magnitude_summary.json,ok,<CASE_ROOT>/run/04_1A_M1_migration/exp_run/outputs/01_sanriku_m69_catalog_screening/window_rate_magnitude_summary.json
file_exists:radius_sensitivity_summary.csv,ok,<CASE_ROOT>/run/04_1A_M1_migration/exp_run/outputs/01_sanriku_m69_catalog_screening/radius_sensitivity_summary.csv
file_exists:time_distance_front_bins.csv,ok,<CASE_ROOT>/run/04_1A_M1_migration/exp_run/outputs/01_sanriku_m69_catalog_screening/time_distance_front_bins.csv
file_exists:migration_front_fit_summary.csv,ok,<CASE_ROOT>/run/04_1A_M1_migration/exp_run/outputs/01_sanriku_m69_catalog_screening/migration_front_fit_summary.csv
file_exists:migration_front_fit_summary.json,ok,<CASE_ROOT>/run/04_1A_M1_migration/exp_run/outputs/01_sanriku_m69_catalog_screening/migration_front_fit_summary.json
file_exists:activated_area_metrics.csv,ok,<CASE_ROOT>/run/04_1A_M1_migration/exp_run/outputs/01_sanriku_m69_catalog_screening/activated_area_metrics.csv
file_exists:activated_area_metrics.json,ok,<CASE_ROOT>/run/04_1A_M1_migration/exp_run/outputs/01_sanriku_m69_catalog_screening/activated_area_metrics.json
file_exists:activated_area_points_projected.csv,ok,<CASE_ROOT>/run/04_1A_M1_migration/exp_run/outputs/01_sanriku_m69_catalog_screening/activated_area_points_projected.csv
file_exists:mc_bvalue_summary.csv,ok,<CASE_ROOT>/run/04_1A_M1_migration/exp_run/outputs/01_sanriku_m69_catalog_screening/mc_bvalue_summary.csv
file_exists:mc_bvalue_summary.json,ok,<CASE_ROOT>/run/04_1A_M1_migration/exp_run/outputs/01_sanriku_m69_catalog_screening/mc_bvalue_summary.json
file_exists:fmd_foreshock_final2d.csv,ok,<CASE_ROOT>/run/04_1A_M1_migration/exp_run/outputs/01_sanriku_m69_catalog_screening/fmd_foreshock_final2d.csv
file_exists:fmd_aftershock_0_0p5d.csv,ok,<CASE_ROOT>/run/04_1A_M1_migration/exp_run/outputs/01_sanriku_m69_catalog_screening/fmd_aftershock_0_0p5d.csv
file_exists:figure_map_m69_windows.png,ok,<CASE_ROOT>/run/04_1A_M1_migration/exp_run/outputs/01_sanriku_m69_catalog_screening/figure_map_m69_windows.png
file_exists:figure_time_distance_fronts.png,ok,<CASE_ROOT>/run/04_1A_M1_migration/exp_run/outputs/01_sanriku_m69_catalog_screening/figure_time_distance_fronts.png
file_exists:figure_rate_magnitude_timeline.png,ok,<CASE_ROOT>/run/04_1A_M1_migration/exp_run/outputs/01_sanriku_m69_catalog_screening/figure_rate_magnitude_timeline.png
file_exists:figure_activated_area_comparison.png,ok,<CASE_ROOT>/run/04_1A_M1_migration/exp_run/outputs/01_sanriku_m69_catalog_screening/figure_activated_area_comparison.png
file_exists:figure_mc_bvalue_diagnostic.png,ok,<CASE_ROOT>/run/04_1A_M1_migration/exp_run/outputs/01_sanriku_m69_catalog_screening/figure_mc_bvalue_diagnostic.png
file_exists:sanriku_m69_screening_summary.json,ok,<CASE_ROOT>/run/04_1A_M1_migration/exp_run/outputs/01_sanriku_m69_catalog_screening/sanriku_m69_screening_summary.json
file_exists:sanriku_m69_screening_summary.csv,ok,<CASE_ROOT>/run/04_1A_M1_migration/exp_run/outputs/01_sanriku_m69_catalog_screening/sanriku_m69_screening_summary.csv
largest_early_aftershock_marker_available,ok,largest early aftershock selection
nonempty_window_foreshock_final2d,ok,396
nonempty_window_aftershock_0_0p5d,ok,415
