phase,bin_index,bin_left_day,bin_right_day,bin_center_day,event_count,distance_p90_km,distance_median_km,distance_max_km,used_for_fit
foreshock_final2d,0,-2.0,-1.8,-1.9,3,39.708515770296934,8.086290535828768,47.61407207891397,False
foreshock_final2d,1,-1.8,-1.6,-1.7000000000000002,7,7.0730221231516905,6.486136414326794,7.1024816513371345,True
foreshock_final2d,2,-1.6,-1.4000000000000001,-1.5,17,7.160060679890612,6.656112517029235,8.591944897118287,True
foreshock_final2d,3,-1.4000000000000001,-1.2000000000000002,-1.3000000000000003,36,7.533398799601656,6.3812261270181185,50.68379858065635,True
foreshock_final2d,4,-1.2000000000000002,-1.0000000000000002,-1.1,18,8.951647284320334,5.985321378564512,12.23615207456536,True
foreshock_final2d,5,-1.0000000000000002,-0.8000000000000003,-0.9000000000000002,22,9.81518879736046,5.091444822160405,11.366460124560172,True
foreshock_final2d,6,-0.8000000000000003,-0.6000000000000003,-0.7000000000000003,24,13.789063287384801,5.296399323973489,75.79558471031538,True
foreshock_final2d,7,-0.6000000000000003,-0.40000000000000036,-0.5000000000000003,59,11.419891018553502,4.523792594544178,13.847462323066209,True
foreshock_final2d,8,-0.40000000000000036,-0.2000000000000004,-0.3000000000000004,122,12.123157389685197,9.253733770703338,22.12241888996425,True
foreshock_final2d,9,-0.2000000000000004,-4.440892098500626e-16,-0.10000000000000042,88,13.191854348942647,8.416985284936526,21.187808684905768,True
aftershock_0_0p5d,0,0.0,0.025,0.0125,31,21.789437959245348,11.045775685821395,24.06106125528275,True
aftershock_0_0p5d,1,0.025,0.05,0.037500000000000006,25,21.834140704112144,13.549104869249383,23.49749239425561,True
aftershock_0_0p5d,2,0.05,0.07500000000000001,0.0625,29,22.108471320448388,17.234392842842652,24.486118047362528,True
aftershock_0_0p5d,3,0.07500000000000001,0.1,0.08750000000000001,28,24.95126931157158,17.691921397940853,33.61518366007756,True
aftershock_0_0p5d,4,0.1,0.125,0.1125,30,26.410521152364943,17.116378582239047,34.47516191919287,True
aftershock_0_0p5d,5,0.125,0.15000000000000002,0.1375,19,33.50767338136248,18.290349482246015,33.93339636276619,True
aftershock_0_0p5d,6,0.15000000000000002,0.17500000000000002,0.16250000000000003,22,29.35643572496697,18.519897460475903,35.38064483373767,True
aftershock_0_0p5d,7,0.17500000000000002,0.2,0.1875,19,24.316668812433967,15.421285932633065,28.058849457477237,True
aftershock_0_0p5d,8,0.2,0.225,0.21250000000000002,18,27.051335634676445,18.869559298669813,33.59164475515701,True
aftershock_0_0p5d,9,0.225,0.25,0.2375,18,28.0351616810162,21.721440053936938,46.60107966375262,True
aftershock_0_0p5d,10,0.25,0.275,0.2625,25,31.87097295927847,20.98643318717137,74.7828072531396,True
aftershock_0_0p5d,11,0.275,0.30000000000000004,0.28750000000000003,21,35.39657798084509,23.258216851175774,36.29562798686387,True
aftershock_0_0p5d,12,0.30000000000000004,0.325,0.3125,20,25.350734665014276,15.864034277525011,33.32904923462604,True
aftershock_0_0p5d,13,0.325,0.35000000000000003,0.3375,13,28.65337362908101,13.003597262883309,34.30294217652706,True
aftershock_0_0p5d,14,0.35000000000000003,0.375,0.36250000000000004,21,29.47778591430526,13.736669880162596,35.094930212921305,True
aftershock_0_0p5d,15,0.375,0.4,0.3875,17,34.37997877442302,17.335035414153673,50.77391826237169,True
aftershock_0_0p5d,16,0.4,0.42500000000000004,0.41250000000000003,17,35.13296271647782,25.070847897410317,57.058025742346274,True
aftershock_0_0p5d,17,0.42500000000000004,0.45,0.4375,12,24.800727766862796,18.208756979370847,34.49326633858504,True
aftershock_0_0p5d,18,0.45,0.47500000000000003,0.4625,14,32.708214935418006,18.021678713899973,35.314472798397404,True
aftershock_0_0p5d,19,0.47500000000000003,0.5,0.48750000000000004,16,27.008018414162173,17.449564959608534,28.24270309239377,True
