source_file,size_bytes,total_lines,valid_96_byte_records,invalid_length_records,j_records,pick_records,e_records,auxiliary_records,unrecognized_records,orphan_pick_records,closed_events,skipped_events,skipped_pick_records,unterminated_events,parse_errors
measure_20250601_5.txt,6841119,70527,70527,0,4061,59946,4061,2459,0,0,4061,8,51,0,0
measure_20250606_5.txt,8643961,89113,89113,0,5768,60812,5768,16765,0,0,5768,7,75,0,0
measure_20250611_5.txt,8670636,89388,89388,0,6083,53501,6083,23721,0,0,6083,10,42,0,0
measure_20250616_5.txt,6618698,68234,68234,0,4154,54430,4154,5496,0,0,4154,6,36,0,0
measure_20250621_5.txt,8354319,86127,86127,0,5455,73116,5455,2101,0,0,5455,17,72,0,0
measure_20250626_5.txt,8957271,92343,92343,0,6362,64564,6362,15055,0,0,6362,22,87,0,0
measure_20250701_5.txt,9843075,101475,101475,0,6790,78797,6790,9098,0,0,6790,26,100,0,0
measure_20250706_5.txt,9146227,94291,94291,0,6336,68865,6336,12754,0,0,6336,19,90,0,0
measure_20250711_5.txt,6781464,69912,69912,0,4333,59559,4333,1687,0,0,4333,9,80,0,0
measure_20250716_5.txt,7004467,72211,72211,0,4345,56538,4345,6983,0,0,4345,6,61,0,0
measure_20250721_5.txt,6570295,67735,67735,0,3990,57684,3990,2071,0,0,3990,10,103,0,0
measure_20250726_5.txt,5835714,60162,60162,0,3406,53069,3406,281,0,0,3406,7,70,0,0
measure_20250731_1.txt,1259642,12986,12986,0,736,11456,736,58,0,0,736,3,35,0,0
measure_20250801_5.txt,6621899,68267,68267,0,4144,59954,4144,25,0,0,4144,13,112,0,0
measure_20250806_5.txt,6502977,67041,67041,0,4026,58292,4026,697,0,0,4026,18,143,0,0
measure_20250811_5.txt,6329250,65250,65250,0,3808,55704,3808,1930,0,0,3808,13,89,0,0
measure_20250816_5.txt,7240274,74642,74642,0,4287,65624,4287,444,0,0,4287,5,22,0,0
measure_20250821_5.txt,7505084,77372,77372,0,4574,66721,4574,1503,0,0,4574,8,61,0,0
measure_20250826_5.txt,6380175,65775,65775,0,3906,54570,3906,3393,0,0,3906,7,43,0,0
measure_20250831_1.txt,1324632,13656,13656,0,791,11624,791,450,0,0,791,3,22,0,0
measure_20250901_5.txt,5270010,54330,54330,0,3118,46912,3118,1182,0,0,3118,12,106,0,0
measure_20250906_5.txt,7783183,80239,80239,0,5072,56215,5072,13880,0,0,5072,13,122,0,0
measure_20250911_5.txt,5939698,61234,61234,0,3603,50155,3603,3873,0,0,3603,6,57,0,0
measure_20250916_5.txt,6112455,63015,63015,0,3869,52431,3869,2846,0,0,3869,25,164,0,0
measure_20250921_5.txt,5320547,54851,54851,0,3125,47712,3125,889,0,0,3125,9,46,0,0
measure_20250926_5.txt,6162992,63536,63536,0,3688,53993,3688,2167,0,0,3688,5,40,0,0
measure_20251001_5.txt,6770018,69794,69794,0,4267,55176,4267,6084,0,0,4267,14,98,0,0
measure_20251006_5.txt,5880431,60623,60623,0,3503,52246,3503,1371,0,0,3503,9,102,0,0
measure_20251011_5.txt,5620762,57946,57946,0,3222,50512,3222,990,0,0,3222,6,40,0,0
