station_code,station_number,latitude,longitude,elevation_m,matched
A.ASMS,5572,40.885667,140.874,-3.0,True
A.CHOG,5550,41.327167,140.815333,0.0,True
A.HGTZ,5571,40.982833,140.904,-11.0,True
A.HRDA,5549,41.448833,140.881,2.0,True
A.IIZM,5576,,,,False
A.KKNI,5582,41.724833,140.544333,-13.0,True
A.KRUC,5565,40.846167,141.352833,5.0,True
A.KSWN,5584,41.790667,141.150667,27.0,True
A.MYGA,5504,38.524,141.471,13.0,True
A.MYGB,5505,38.375167,141.463333,-83.0,True
A.MYGC,5506,38.413833,141.169333,-87.0,True
A.NZWA,5574,40.7055,140.7625,152.0,True
A.SGMR,5559,41.293667,141.397333,9.0,True
A.SMFR,5555,41.46,141.1075,34.0,True
A.SRNK,5561,41.170833,141.3735,17.0,True
A.STBS,5577,40.943667,140.626,13.0,True
A.STDJ,5569,40.848667,140.985,132.0,True
A.TNAB,5556,41.3145,141.158667,98.0,True
A.TRDT,5580,41.1415,140.629667,9.0,True
A.TSRN,5583,41.773667,140.8915,82.0,True
A.WKNS,5552,41.145167,140.774833,-5.0,True
A.YNKW,5554,41.316833,140.963667,87.0,True
AIDA,608,,,,False
AIOI,610,,,,False
AKAIKE,618,,,,False
AKKESH,522,42.998667,144.6925,20.0,True
AOGASM,5821,,,,False
AOHIGA,5802,41.265333,141.337333,50.0,True
ARCADI,5812,,,,False
ASHIBE,523,,,,False
ASHIKA,558,,,,False
ASHORO,518,43.299333,143.765667,210.0,True
ATSUMA,5799,42.622667,141.9205,12.0,True
ATSUMI,582,,,,False
AWASHI,550,38.459,139.245333,70.0,True
AWJNGS,5853,,,,False
BEPPUA,5785,,,,False
BIRAT2,667,42.780833,142.359833,170.0,True
CASHIK,5857,,,,False
CHONAN,5858,,,,False
CHURUI,519,42.616833,143.3585,120.0,True
E.SOB1,1141,39.166667,143.239167,-2480.0,True
E.SOB2,1142,39.203,142.984333,-1840.0,True
E.SOB3,1143,39.245167,142.498,-1057.0,True
EDANAR,5805,40.205667,141.709833,74.0,True
EIGENJ,661,,,,False
ENIWA,509,42.842667,141.446167,185.0,True
ERIMO,517,42.0185,143.1535,40.0,True
FJNAKA,5823,,,,False
FOSAKI,5808,38.602167,140.911167,29.0,True
FURANO,507,43.166,142.589667,360.0,True
FURUDN,5813,,,,False
GOTSU2,5795,,,,False
HACHJ3,651,,,,False
