station_code,station_number,latitude,longitude,elevation_m,matched
A.IIZM,5576,,,,False
AIDA,608,,,,False
AIOI,610,,,,False
AKAIKE,618,,,,False
AOGASM,5821,,,,False
ARCADI,5812,,,,False
ASHIBE,523,,,,False
ASHIKA,558,,,,False
ATSUMI,582,,,,False
AWJNGS,5853,,,,False
BEPPUA,5785,,,,False
CASHIK,5857,,,,False
CHONAN,5858,,,,False
EIGENJ,661,,,,False
FJNAKA,5823,,,,False
FURUDN,5813,,,,False
GOTSU2,5795,,,,False
HACHJ3,651,,,,False
HACHJK,5782,,,,False
HAGIMI,5849,,,,False
HAKUI,575,,,,False
HANNO2,5859,,,,False
HATUMA,5822,,,,False
HEGURA,573,,,,False
HEGURI,593,,,,False
HICHIY,5833,,,,False
HIKIMI,681,,,,False
HIROMI,685,,,,False
HITACH,559,,,,False
HU.ERM,1041,,,,False
HU.KUT,1057,,,,False
HU.NTK,1051,,,,False
HU.RUS,1006,,,,False
HU.SRK,1018,,,,False
HYAKUZ,5804,,,,False
ICHIAK,5826,,,,False
IKI,621,,,,False
IKUMA,602,,,,False
ISE,583,,,,False
ITAHOR,5815,,,,False
ITAYA,663,,,,False
IWAKMZ,703,,,,False
IYASAT,560,,,,False
IZUMOZ,553,,,,False
IZUSIM,566,,,,False
JOUGE,607,,,,False
KAGA,576,,,,False
KASAI,598,,,,False
KASUMI,679,,,,False
KATADA,659,,,,False
KAYABE,514,,,,False
KHARUN,5831,,,,False
KIHOKU,5718,,,,False
KIRAGA,689,,,,False
KITAK2,5875,,,,False
KOUYA2,5868,,,,False
KOZUSH,586,,,,False
KUBOKA,612,,,,False
KUDAMA,616,,,,False
KUNI,557,,,,False
KUNIMI,624,,,,False
KUROKA,580,,,,False
KUROMA,658,,,,False
KUSIMO,5829,,,,False
MIHAMA,577,,,,False
MIKI,660,,,,False
MIKURA,5820,,,,False
MIMANA,5830,,,,False
MINABE,595,,,,False
MITSUS,5850,,,,False
MIYKE4,5855,,,,False
MIYOSH,5673,,,,False
MMIHAM,5827,,,,False
MONOBE,611,,,,False
MSOUMA,5846,,,,False
N.604S,6679,,,,False
N.ANNH,1554,,,,False
N.IWNH,2028,,,,False
N.KSKF,2454,,,,False
N.KWSH,2036,,,,False
NAGAHA,615,,,,False
NAKAMA,554,,,,False
NAKATS,626,,,,False
NIIJOH,5784,,,,False
NIUKAW,578,,,,False
NSAKAI,569,,,,False
NUMATA,5862,,,,False
OBARA,581,,,,False
ODAWA2,657,,,,False
OGA3,5836,,,,False
OKI2,5794,,,,False
ONBETS,520,,,,False
ONDO,5860,,,,False
OSHIM3,669,,,,False
REBUNT,5845,,,,False
RISHIR,525,,,,False
RYOKAM,561,,,,False
SADO,551,,,,False
SAGAMI,5847,,,,False
SAGARA,567,,,,False
SAIJYO,605,,,,False
SAKAID,609,,,,False
SAKAUR,5848,,,,False
SASAKA,552,,,,False
SHIBET,5843,,,,False
SHIMOB,568,,,,False
SHIOBA,556,,,,False
SHIRIU,678,,,,False
SHOSAN,503,,,,False
SIKINE,5819,,,,False
SINONB,5824,,,,False
SKAMAE,5832,,,,False
SMATSU,5816,,,,False
SOYAES,502,,,,False
SUZU,574,,,,False
TAKATO,570,,,,False
TAKISA,700,,,,False
TAMANA,619,,,,False
TANABE,5839,,,,False
TANBAR,614,,,,False
TANIAI,5838,,,,False
TENKAW,5828,,,,False
TOBISH,549,,,,False
TOKIWA,5810,,,,False
TOKYO,60,,,,False
TOSASH,613,,,,False
TOSIMA,5818,,,,False
TOYOHI,662,,,,False
TSUKUD,5867,,,,False
TSUNO,672,,,,False
TSUSHM,620,,,,False
TT1OBS,5777,,,,False
TT2OBS,5778,,,,False
TT3OBS,5779,,,,False
TT4OBS,5780,,,,False
TT5OBS,5781,,,,False
TTATEY,572,,,,False
UCHIUR,5817,,,,False
UONUMA,5854,,,,False
USUKI,625,,,,False
V.MEAK,4820,,,,False
WACHI,592,,,,False
WAKKA3,652,,,,False
YAGISH,526,,,,False
YAMAUE,5814,,,,False
YANAIZ,548,,,,False
YASAKA,591,,,,False
YGYUZA,5811,,,,False
YOKOSK,564,,,,False
YTOYOT,617,,,,False
YUWA,654,,,,False
